Zeit,Kanal,Spannung,Strom,Leistung
13/10/2023 11:25:37,2,6.635,0.301,2.0
13/10/2023 11:25:38,3,4.752,0.21,0.995
13/10/2023 11:25:39,2,6.635,0.301,2.0
13/10/2023 11:25:39,3,8.252,0.365,3.01
13/10/2023 11:25:40,2,6.635,0.301,2.0
13/10/2023 11:25:41,3,8.243,0.364,3.002
13/10/2023 11:25:42,2,6.635,0.301,2.0
13/10/2023 11:25:42,3,8.241,0.364,3.0
13/10/2023 11:25:43,2,6.635,0.301,2.0
13/10/2023 11:25:44,3,8.242,0.364,3.002
13/10/2023 11:25:45,2,6.635,0.301,2.0
13/10/2023 11:25:45,3,8.24,0.364,3.002
13/10/2023 11:25:47,2,6.635,0.301,2.0
13/10/2023 11:25:47,3,8.237,0.364,3.001
13/10/2023 11:25:51,2,6.635,0.301,2.0
13/10/2023 11:25:51,3,8.236,0.364,3.0
13/10/2023 11:25:54,2,6.635,0.301,2.0
13/10/2023 11:25:55,3,8.235,0.364,3.0
13/10/2023 11:25:58,2,6.635,0.301,2.0
13/10/2023 11:25:58,3,8.235,0.364,3.0
13/10/2023 11:26:02,2,6.635,0.301,2.0
13/10/2023 11:26:02,3,8.235,0.364,3.001
13/10/2023 11:26:05,2,6.635,0.301,2.0
13/10/2023 11:26:06,3,8.233,0.365,3.003
13/10/2023 11:26:09,2,6.635,0.301,2.0
13/10/2023 11:26:09,3,8.229,0.365,3.0
13/10/2023 11:26:13,2,6.635,0.301,2.0
13/10/2023 11:26:13,3,8.229,0.365,3.001
13/10/2023 11:26:16,2,6.635,0.301,2.0
13/10/2023 11:26:16,3,8.229,0.365,3.002
13/10/2023 11:26:19,2,6.635,0.301,2.0
13/10/2023 11:26:20,3,8.226,0.365,3.0
13/10/2023 11:26:23,2,6.635,0.301,2.0
13/10/2023 11:26:23,3,8.226,0.365,3.003
13/10/2023 11:26:27,2,6.635,0.301,2.0
13/10/2023 11:26:27,3,8.221,0.365,2.998
13/10/2023 11:26:31,2,6.635,0.301,2.0
13/10/2023 11:26:31,3,8.223,0.365,2.998
13/10/2023 11:26:34,2,6.635,0.301,2.0
13/10/2023 11:26:35,3,8.226,0.365,3.002
13/10/2023 11:26:38,2,6.635,0.301,2.0
13/10/2023 11:26:38,3,8.223,0.365,3.0
13/10/2023 11:26:41,2,6.635,0.301,2.0
13/10/2023 11:26:42,3,8.223,0.364,2.996
13/10/2023 11:26:45,2,6.635,0.301,2.0
13/10/2023 11:26:45,3,8.229,0.364,2.995
13/10/2023 11:26:48,2,6.635,0.301,2.0
13/10/2023 11:26:48,3,8.238,0.364,3.002
13/10/2023 11:26:52,2,6.635,0.301,2.0
13/10/2023 11:26:52,3,8.235,0.365,3.003
13/10/2023 11:26:56,2,6.635,0.301,2.0
13/10/2023 11:26:56,3,8.232,0.365,3.002
13/10/2023 11:26:59,2,6.635,0.301,2.0
13/10/2023 11:26:59,3,8.229,0.365,3.006
13/10/2023 11:27:03,2,6.635,0.301,2.0
13/10/2023 11:27:03,3,8.222,0.365,3.001
13/10/2023 11:27:39,2,6.635,0.301,2.0
13/10/2023 11:27:39,3,8.221,0.364,2.992
13/10/2023 11:27:54,2,6.635,0.301,2.0
13/10/2023 11:27:54,3,8.225,0.365,3.003
13/10/2023 11:28:10,2,6.636,0.301,2.0
13/10/2023 11:28:11,3,8.223,0.365,2.998
13/10/2023 11:28:26,2,6.636,0.301,2.0
13/10/2023 11:28:26,3,8.222,0.365,3.002
