Zeit,Kanal,Spannung,Strom,Leistung
12/10/2023 13:10:11,2,6.64,0.3,2.0
12/10/2023 13:10:11,3,6.64,0.28,1.88
12/10/2023 13:10:11,4,4.72,0.2,0.95
12/10/2023 13:10:22,2,6.64,0.3,2.0
12/10/2023 13:10:22,3,6.64,0.28,1.88
12/10/2023 13:10:22,4,4.72,0.2,0.94
12/10/2023 13:10:33,2,6.64,0.3,2.0
12/10/2023 13:10:33,3,6.64,0.28,1.87
12/10/2023 13:10:33,4,4.72,0.2,0.94
12/10/2023 13:10:43,2,6.64,0.3,2.0
12/10/2023 13:10:43,3,6.64,0.28,1.86
12/10/2023 13:10:43,4,4.72,0.2,0.94
12/10/2023 13:10:54,2,6.64,0.3,2.0
