Zeit,Kanal,Spannung,Strom,Leistung
27-09-2023 11:11:56,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:11:56,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:12:06,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:12:06,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:12:06,3,0.000  V,0.000  A,0.000  W
27-09-2023 11:12:06,4,0.000  V,0.000  A,0.000  W
27-09-2023 11:12:17,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:12:17,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:12:17,3,0.000  V,0.000  A,0.000  W
27-09-2023 11:12:17,4,0.000  V,0.000  A,0.000  W
27-09-2023 11:12:27,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:12:27,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:12:27,3,0.000  V,0.000  A,0.000  W
27-09-2023 11:12:27,4,0.000  V,0.000  A,0.000  W
27-09-2023 11:12:37,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:12:37,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:12:37,3,0.000  V,0.000  A,0.000  W
27-09-2023 11:12:37,4,0.000  V,0.000  A,0.000  W
27-09-2023 11:12:47,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:12:47,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:12:47,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:12:47,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:12:57,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:12:57,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:12:57,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:12:57,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:13:07,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:13:07,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:13:07,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:13:07,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:13:17,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:13:17,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:13:17,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:13:17,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:13:27,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:13:27,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:13:27,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:13:27,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:13:37,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:13:37,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:13:37,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:13:37,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:13:47,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:13:47,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:13:47,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:13:47,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:13:57,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:13:57,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:13:57,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:13:57,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:14:07,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:14:07,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:14:07,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:14:07,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:14:17,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:14:17,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:14:17,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:14:17,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:14:27,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:14:27,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:14:27,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:14:27,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:14:37,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:14:37,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:14:37,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:14:37,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:14:47,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:14:47,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:14:47,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:14:47,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:14:57,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:14:57,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:14:57,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:14:57,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:15:07,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:15:07,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:15:07,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:15:07,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:15:17,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:15:17,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:15:17,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:15:17,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:15:27,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:15:27,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:15:27,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:15:27,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:15:37,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:15:37,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:15:37,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:15:37,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:15:47,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:15:47,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:15:47,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:15:47,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:15:58,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:15:58,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:15:58,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:15:58,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:16:08,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:16:08,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:16:08,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:16:08,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:16:18,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:16:18,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:16:18,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:16:18,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:16:28,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:16:28,2,8.111  V,0.369  A,2.995  W
